# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	126941
#@/user_id	ca62f353-43e6-488d-90b6-9dde39353ca4
a 	啊	c=89 d=7.44404 t=126941
a shuō 	啊说	c=1 d=0.748264 t=126941
ba 	吧	c=199 d=10.3309 t=126941
bei 	呗	c=10 d=3.11573 t=126941
biàn 	便	c=1 d=0.748264 t=126941
biàn 	变	c=10 d=2.82923 t=126941
biàn bié 	辨别	c=1 d=0.97531 t=126941
biàn chà le 	变差了	c=1 d=0.740818 t=126941
biàn chéng 	变成	c=48 d=3.93907 t=126941
biàn chéng le 	变成了	c=1 d=0.453845 t=126941
biàn de 	变得	c=8 d=2.35874 t=126941
biàn de hěn kǎ 	变得很卡	c=1 d=0.744532 t=126941
biàn duō 	变多	c=0 d=0.0479505 t=126941
biàn duō hòu 	变多后	c=1 d=0.481909 t=126941
biàn duǎn 	变短	c=0 d=0.0726149 t=126941
biàn dà le 	变大了	c=1 d=0.918512 t=126941
biàn dì 	遍地	c=1 d=0.786628 t=126941
biàn dòng 	变动	c=0 d=0.0927743 t=126941
biàn dòng zì fú 	变动字符	c=1 d=0.932394 t=126941
biàn gēng 	变更	c=2 d=1.42989 t=126941
biàn gēng hòu 	变更后	c=1 d=0.847894 t=126941
biàn huà 	变化	c=13 d=3.38572 t=126941
biàn jié 	便捷	c=1 d=0.606531 t=126941
biàn kuān 	变宽	c=1 d=0.484325 t=126941
biàn kǎ 	变卡	c=1 d=0.843665 t=126941
biàn le 	变了	c=2 d=1.13799 t=126941
biàn liàng 	变量	c=9 d=3.33436 t=126941
biàn lì 	便利	c=0 d=0.0625002 t=126941
biàn lì 	遍历	c=4 d=1.25443 t=126941
biàn lǎn 	遍览	c=1 d=0.429557 t=126941
biàn sè 	变色	c=3 d=1.03516 t=126941
biàn xié 	便携	c=2 d=1.09159 t=126941
biàn xié bǎn 	便携版	c=3 d=1.16697 t=126941
biàn xié de 	便携的	c=2 d=1.18374 t=126941
biàn xié píng 	便携屏	c=4 d=2.43585 t=126941
biàn xié shì 	便携式	c=7 d=2.20914 t=126941
biàn yǒu 	便有	c=1 d=0.88692 t=126941
bié 	别	c=3 d=1.78092 t=126941
bié bǎ 	别把	c=1 d=0.878095 t=126941
bié chù 	别处	c=1 d=0.873716 t=126941
bié chǎng shāng 	别厂商	c=1 d=0.852144 t=126941
bié de 	别的	c=6 d=1.3342 t=126941
bié de jī qì 	别的机器	c=1 d=0.843665 t=126941
bié de shè bèi 	别的设备	c=1 d=0.798516 t=126941
bié de xiàng mù 	别的项目	c=1 d=0.594521 t=126941
bié duàn 	别断	c=1 d=0.918512 t=126941
bié dǎ yìn 	别打印	c=1 d=0.790571 t=126941
bié fàng 	别放	c=0 d=0.0748264 t=126941
bié guǎn 	别管	c=2 d=1.47708 t=126941
bié gàn le 	别干了	c=1 d=0.511709 t=126941
bié jí 	别急	c=0 d=0.0891366 t=126941
bié jí ba 	别急吧	c=1 d=0.895834 t=126941
bié jù 	别具	c=0 d=0.0970446 t=126941
bié jù bǎo wò 	别具宝沃	c=1 d=0.97531 t=126941
bié kǎ 	别卡	c=1 d=0.923116 t=126941
bié míng 	别名	c=1 d=0.50409 t=126941
bié rén 	别人	c=34 d=4.4197 t=126941
bié rén bù zhī dào 	别人不知道	c=1 d=1 t=126941
bié rén de 	别人的	c=2 d=1.24579 t=126941
bié rén lái 	别人来	c=1 d=0.423162 t=126941
bié shuō 	别说	c=0 d=0.0960789 t=126941
bié sǐ 	别死	c=1 d=0.806541 t=126941
bié tài 	别太	c=1 d=0.594521 t=126941
bié wèn le 	别问了	c=1 d=0.486752 t=126941
bié xiào 	别笑	c=1 d=0.574072 t=126941
bié yòng 	别用	c=1 d=0.755784 t=126941
biān 	边	c=17 d=3.87703 t=126941
biān biān jiǎo jiǎo 	边边角角	c=1 d=0.865022 t=126941
biān chéng 	编程	c=6 d=2.03901 t=126941
biān dù 	边度	c=0 d=0.0831104 t=126941
biān dù àn 	边度按	c=1 d=0.83527 t=126941
biān dǎo 	编导	c=1 d=0.421052 t=126941
biān hào 	编号	c=6 d=2.62612 t=126941
